Meta_Publisher,Meta_datetime,Meta_title,Meta_link,Meta_desc,Published_Date,Title,Article,Summary,Authors,Keywords
The Economic Times,,"'Not even consulted, unfortunate': Wrestlers unhappy with Sports Ministry's newly formed probe panel",https://m.economictimes.com/news/india/not-even-consulted-unfortunate-wrestlers-unhappy-with-sports-ministrys-newly-formed-probe-panel/videoshow/97282267.cms,The wrestlers who accused WFI president Brij Bhushan Sharan Singh of sexual harassment and intimidation on Tuesday rued that the government did not consult...,None,"'Not even consulted, unfortunate': Wrestlers unhappy with Sports Ministry's newly formed probe panel",The wrestlers who accused WFI president Brij Bhushan Sharan Singh of sexual harassment and intimidation on Tuesday rued that the government did not consult them before forming the oversight committee that will probe charges against the sports administrator.,The wrestlers who accused WFI president Brij Bhushan Sharan Singh of sexual harassment and intimidation on Tuesday rued that the government did not consult them before forming the oversight committee that will probe charges against the sports administrator.,['Mirror Now'],"['formed', 'probe', 'ministrys', 'unhappy', 'consulted', 'oversight', 'sexual', 'newly', 'sharan', 'wfi', 'unfortunate', 'president', 'singh', 'intimidation', 'rued', 'panel', 'wrestlers']"
Times of India,,"Balkrishna Doshi, pioneer of modernist architecture in India, passes away at 95",https://m.timesofindia.com/india/balkrishna-doshi-pioneer-of-modernist-architecture-in-india-passes-away-at-95/articleshow/97296035.cms,"Doshi was the first Indian to be awarded the Pritzker Prize — considered to be the Nobel Prize of Architecture — in 2018 and Padma Bhushan,...",None,"Balkrishna Doshi, pioneer of modernist architecture in India, passes away at 95","AHMEDABAD: Distinguished architect Balkrishna Vithaldas (BV) Doshi (95), who worked with architecture legends of the 20th century like Le Corbusier and Louis Kahn , breathed his last at his residence in Ahmedabad on Tuesday. Doshi is considered a pioneer of modernist and brutalist architecture in India.Doshi was the first Indian to be awarded the Pritzker Prize — considered to be the Nobel Prize of Architecture — in 2018 and Padma Bhushan, the third-highest civilian award in India, in 2020. PM Narendra Modi and leading Indian and international names from the architecture fraternity paid rich tributes to Doshi.The PM tweeted: “Dr. BV DoshiJi was a brilliant architect and a remarkable institution builder. The coming generations will get glimpses of his greatness by admiring his rich work across India. His passing away is saddening. Condolences to his family and admirers. Om Shanti.”Born in Pune in 1927, Doshi made Ahmedabad his home, the city which houses some of his most celebrated works, including Faculty of Planning at CEPT, Amdavad ni Gufa, and Tagore Memorial Hall. He also assisted Corbusier and Kahn on projects like ATMA House and IIM Ahmedabad, respectively.Doshi’s architecture was globally feted for its minimalism and ecofriendly approach. In his citation for the Pritzker Prize, the jury had noted, “Doshi has always created an architecture that is serious, never flashy or a follower of trends… all good architecture and urban planning must not only unite purpose and structure but must take into account climate, site, technique, and craft, along with a deep understanding and appreciation of the context in the broadest sense.”","AHMEDABAD: Distinguished architect Balkrishna Vithaldas (BV) Doshi (95), who worked with architecture legends of the 20th century like Le Corbusier and Louis Kahn , breathed his last at his residence in Ahmedabad on Tuesday.
Doshi is considered a pioneer of modernist and brutalist architecture in India.Doshi was the first Indian to be awarded the Pritzker Prize — considered to be the Nobel Prize of Architecture — in 2018 and Padma Bhushan, the third-highest civilian award in India, in 2020.
PM Narendra Modi and leading Indian and international names from the architecture fraternity paid rich tributes to Doshi.The PM tweeted: “Dr.
The coming generations will get glimpses of his greatness by admiring his rich work across India.
He also assisted Corbusier and Kahn on projects like ATMA House and IIM Ahmedabad, respectively.Doshi’s architecture was globally feted for its minimalism and ecofriendly approach.",['Tnn'],"['passes', 'planning', 'rich', 'away', 'architecture', 'balkrishna', 'pioneer', '95', 'india', 'prize', 'ahmedabad', 'pritzker', 'modernist', 'kahn', 'indian', 'doshi']"
DNA India,,"Helicopters, luxury vehicles, over 50 schools, colleges: Vast property owned by embattled WFI boss Brij",https://www.dnaindia.com/india/report-helicopters-luxury-vehicles-over-50-schools-colleges-vast-property-owned-by-embattled-wfi-boss-brij-bh-3018671,"Accused of sexual exploitation of female wrestlers, Brij Bhushan Sharan Singh has over 54 schools and colleges. ... The Wrestling Federation of India (WFI)...",None,"Helicopters, luxury vehicles, over 50 schools, colleges: Vast property owned by embattled WFI boss Brij Bhushan Singh","Know about Brij Bhushan Sharan Singh's vast property | Photo: PTI

The Wrestling Federation of India (WFI) president and BJP MP Brij Bhushan Sharan Singh is surrounded by controversies these days after women wrestlers made allegations of sexual exploitation against him. He has been holding the post of the President of the Wrestling Federation of India since 2011.

Brij Bhushan Sharan Singh was born on January 8, 1957, in Vishvoharpur in the Gonda district of Uttar Pradesh. Brijbhushan had become active in student politics since college days. Singh started his political journey in the year 1987 by contesting the election of the Director of the Sugarcane Committee and has earned immense wealth, influence and dominance since then.

Brijbhushan Sharan Singh was elected Member of Parliament for the sixth time. He owns about 54 schools spread across four districts of Devi Patan Mandal, Gonda, Balrampur, Bahraich and Shravasti. Among these the Nandini Nagar Mahavidyalaya is in Nawabganj.

It also houses the Nandini Nagar Sports Stadium. The National Wrestling Championshipbparticipated by renowned wrestlers is organised here every year. Brijbhushan is also fond of weapons. As per reports, he has a pistol, a rifle and a repeater, while his wife also has a rifle and a repeater in his name.

MP Brij Bhushan Sharan Singh is the father of two sons and a daughter. One son of MP Prateek Bhushan Sharan Singh is BJP MLA from Gonda Sadar. Singh's wife Ketki Singh has been a BJP MP and district panchayat president.

Read: BBC documentary row explained: Why 'India-The Modi Question' is sparking a political row between BJP, Congress

In Singh's election affidavit of 2019, Brijbhushan Sharan Singh had told that he owns property worth about Rs 10 crore (9,89,05,402), while he has a liability of more than 6 crore (6,15,24,735).

Brij Bhushan Singh is the owner of movable and immovable assets worth 40,185,787 crores, while his wife has movable and immovable assets worth 63,444,541 crores. Brij Bhushan Sharan Singh had told in the election affidavit that he has movable assets worth Rs 1,57,96,317, while his wife has movable assets worth Rs 2,54,44,541.","Know about Brij Bhushan Sharan Singh's vast property | Photo: PTIThe Wrestling Federation of India (WFI) president and BJP MP Brij Bhushan Sharan Singh is surrounded by controversies these days after women wrestlers made allegations of sexual exploitation against him.
Brij Bhushan Sharan Singh was born on January 8, 1957, in Vishvoharpur in the Gonda district of Uttar Pradesh.
MP Brij Bhushan Sharan Singh is the father of two sons and a daughter.
Brij Bhushan Singh is the owner of movable and immovable assets worth 40,185,787 crores, while his wife has movable and immovable assets worth 63,444,541 crores.
Brij Bhushan Sharan Singh had told in the election affidavit that he has movable assets worth Rs 1,57,96,317, while his wife has movable assets worth Rs 2,54,44,541.",[],"['property', 'worth', 'owned', 'schools', 'vehicles', 'wfi', 'wrestling', 'wife', 'vast', 'luxury', 'sharan', 'helicopters', 'singh', 'brij', 'movable', 'bhushan', 'embattled', 'assets', 'bjp']"
Pratidin Time,,Mary Kom to Head Oversight Committee to Probe Allegations Against WFI Chief,https://www.pratidintime.com/national/mary-kom-to-head-oversight-committee-to-probe-allegations-against-wfi-chief,"However, WFI chief Brij Bhushan Sharan Singh refuted the allegations and claimed he would expose the 'political conspiracy' in a press conference in Uttar...",None,Mary Kom to Head Oversight Committee to Probe Allegations Against WFI Chief,"Union Sports Minister Anurag Thakur announced on Monday that boxer Mary Kom will be heading the oversight committee formed to probe into the allegations levelled against the Wrestling Federation of India (WFI) and its chief Brij Bhushan Sharan Singh and other coaches.

""Oversight Committee has been formed today. Mary Kom will head the Oversight Committee. For the coming month, the committee will investigate the allegations put up by the wrestlers,"" Thakur told the media in Jabalpur, Madhya Pradesh.

Earlier, speaking to reporters in Kolkata, Anurag Thakur said that the Centre has heard all the players pertaining to allegations levelled against the Wrestling Federation of India (WFI) president Brij Bhushan Sharan Singh and added all the activities of the tournament were stopped immediately pending an inquiry by the probe committee.

""Assistant Secretary WFI was sacked and an oversight committee will begin an impartial probe so that everything gets clear,"" he added.

Meanwhile, the Wrestling Federation of India's (WFI) Annual General Body Meeting (AGM), which was supposed to start at 10 am on Sunday in Ayodhya, was called off amid the ongoing battle between the wrestlers and its governing body in the country.

The latest development comes after the central government on Saturday evening suspended WFI Assistant Secretary Vinod Tomar. Along with this, the activities of WFI were immediately banned till the completion of the investigation into the allegations of the wrestlers.","Union Sports Minister Anurag Thakur announced on Monday that boxer Mary Kom will be heading the oversight committee formed to probe into the allegations levelled against the Wrestling Federation of India (WFI) and its chief Brij Bhushan Sharan Singh and other coaches.
""Oversight Committee has been formed today.
Mary Kom will head the Oversight Committee.
For the coming month, the committee will investigate the allegations put up by the wrestlers,"" Thakur told the media in Jabalpur, Madhya Pradesh.
""Assistant Secretary WFI was sacked and an oversight committee will begin an impartial probe so that everything gets clear,"" he added.",['Pratidin Time'],"['mary', 'probe', 'head', 'federation', 'allegations', 'oversight', 'kom', 'chief', 'wfi', 'wrestling', 'committee', 'singh', 'thakur', 'wrestlers']"
Times of India,,All roads lead to Dover Lane for 71st music meet,https://m.timesofindia.com/city/kolkata/all-roads-lead-to-dover-lane-for-71st-music-meet/articleshow/97238723.cms,"Trending Stories. Why no FIR against Brij Bhushan Sharan Singh, Supreme Court asks Delhi police · Yogi Adityanath receives death threat, police register FIR.",None,All roads lead to Dover Lane for 71st music meet,"KOLKATA: The 71st Dover Lane Music conference that was inaugurated on Sunday, and will continue till January 25, will have doyens of Indian classical music, like Pt Hariprasad Chaurasia, Begum Parveen Sultana, Ustad Shahid Parvez, Ustad Rashid Khan , Pt Debashish Bhattacharya, Ustad Nishat Khan, Pt Ronu Majumdar, Pt Ulhas Kashalkar , Vidushi Manjusha Patil and Vidushi N Rajam, perform. Tabla player Pt Kumar Bose was conferred the Sangeet Samman Award on Sunday.Pt Debashish Bhattacharya pointed out that this year’s specialty at Dover Lane is the mix of veteran and young musicians.“It is a privilege and pleasure to be associated with this conference, which commands respect across the globe. To encourage new voices in the field of Indian classical music, sarod player Troilee Dutta was awarded the Patton Award for Young Talent,” said Patton MD Sanjay Budhia, patron of the conference.","KOLKATA: The 71st Dover Lane Music conference that was inaugurated on Sunday, and will continue till January 25, will have doyens of Indian classical music, like Pt Hariprasad Chaurasia, Begum Parveen Sultana, Ustad Shahid Parvez, Ustad Rashid Khan , Pt Debashish Bhattacharya, Ustad Nishat Khan, Pt Ronu Majumdar, Pt Ulhas Kashalkar , Vidushi Manjusha Patil and Vidushi N Rajam, perform.
Tabla player Pt Kumar Bose was conferred the Sangeet Samman Award on Sunday.Pt Debashish Bhattacharya pointed out that this year’s specialty at Dover Lane is the mix of veteran and young musicians.“It is a privilege and pleasure to be associated with this conference, which commands respect across the globe.
To encourage new voices in the field of Indian classical music, sarod player Troilee Dutta was awarded the Patton Award for Young Talent,” said Patton MD Sanjay Budhia, patron of the conference.",[],"['music', 'patton', 'player', 'lane', 'young', 'lead', 'dover', 'pt', 'meet', 'khan', 'ustad', 'roads', 'conference', '71st', 'vidushi']"
Times of India,,New Zealand's Chris Hipkins set to be officially appointed prime minister,https://m.timesofindia.com/world/rest-of-world/new-zealands-chris-hipkins-set-to-be-officially-appointed-prime-minister/articleshow/97290570.cms,"Why no FIR against Brij Bhushan Sharan Singh, Supreme Court asks Delhi police ... How radical preacher Amritpal Singh was arrestedindia.",None,New Zealand's Chris Hipkins set to be officially appointed prime minister,"WELLINGTON: New Zealand 's Governor General will appoint Labour leader Chris Hipkins as prime minister in a formal ceremony on Wednesday, the government said following the resignation of outgoing Prime Minister Jacinda Ardern last week.The Labour party elected former Covid-19 response and police minister Hipkins, 44, to lead the party and the country on Sunday. This comes after the surprise resignation of Ardern, 42, who said she had ""no more in the tank"" to lead the country.Before Hipkins becomes prime minister, Ardern will tender her resignation to King Charles' representative in New Zealand, Governor General Cindy Kiro. Kiro will then appoint Hipkins to the role and he will be sworn in.Hipkins is then set to hold his first meeting with Labour ministers before fronting to the media.","WELLINGTON: New Zealand 's Governor General will appoint Labour leader Chris Hipkins as prime minister in a formal ceremony on Wednesday, the government said following the resignation of outgoing Prime Minister Jacinda Ardern last week.The Labour party elected former Covid-19 response and police minister Hipkins, 44, to lead the party and the country on Sunday.
This comes after the surprise resignation of Ardern, 42, who said she had ""no more in the tank"" to lead the country.Before Hipkins becomes prime minister, Ardern will tender her resignation to King Charles' representative in New Zealand, Governor General Cindy Kiro.
Kiro will then appoint Hipkins to the role and he will be sworn in.Hipkins is then set to hold his first meeting with Labour ministers before fronting to the media.",['Reuters'],"['ardern', 'prime', 'hipkins', 'lead', 'officially', 'chris', 'resignation', 'kiro', 'zealand', 'appointed', 'set', 'minister', 'zealands', 'labour', 'party']"
Times of India,,Congress begging regional parties for crowds for Bharat Jodo Yatra in J&K: Azad-led DAP,https://m.timesofindia.com/india/congress-begging-regional-parties-for-crowds-for-bharat-jodo-yatra-in-jk-azad-led-dap/articleshow/97319458.cms,"Congress begging regional parties for crowds for Bharat Jodo Yatra in J&K: Azad-led DAP ; Why no FIR against Brij Bhushan Sharan Singh, Supreme Court asks Delhi...",None,Congress begging regional parties for crowds for Bharat Jodo Yatra in J&K: Azad-led DAP,"JAMMU: Alleging that the Congress is “begging” for crowds from regional parties for the success of the Bharat Jodo Yatra in Jammu and Kashmir, the Democratic Azad Party ( DAP ) headed by Ghulam Nabi Azad on Wednesday said the local leadership of the national party are misleading Rahul Gandhi on the ground reality.The DAP's remarks came a day after Gandhi said 90 percent of Azad's colleagues have returned to the Congress fold and now he has been left alone.“The Congress leader is misled by the people surrounding him about the facts and ground situation. The reality is that the DAP has white washed Congress in J-K,” DAP general secretary and former minister R S Chib said in a statement here.Referring to former deputy chief minister Tara Chand and former MLA Balwan Singh who returned to the Congress, Chib said they, along with former minister Manohar Lal Sharma, were expelled from the party by the DAP chairman.“While one (Sharma) who holds the constituency later re-joined the DAP, the remaining two have no political constituency,” he claimed.Chib said the desertions in the Congress after the formation of the DAP has rattled the grand old party at the core and is now working in damage control mode. “Ever since the Bharat Jodo Yatra entered Jammu and Kashmir, the local leadership (of Congress) has been begging for the crowds to local political parties. They have lost their ground in Jammu and Kashmir and that is the reality.”Accusing Gandhi of faking his love and sympathy for the people of J-K, Chib said the Congress is maintaining a “deliberate silence on issues like Article 370 abrogation, land, jobs and the recent terror strikes in Jammu and Kashmir.”“Even he is walking alongside the leaders who spoke against the Indian Army. Taking along such anti-national elements reflects the mindset of the Congress towards the nation,” the DAP leader, apparently referring to Congress leader and former Madhya Pradesh chief minister Digvijaya Singh who triggered a controversy by questioning the surgical strikes.Gandhi himself had snubbed Singh, termed his comments ""ridiculous"" and said the armed forces are doing their job ""exceptionally well"" and do not need to give any proof.","JAMMU: Alleging that the Congress is “begging” for crowds from regional parties for the success of the Bharat Jodo Yatra in Jammu and Kashmir, the Democratic Azad Party ( DAP ) headed by Ghulam Nabi Azad on Wednesday said the local leadership of the national party are misleading Rahul Gandhi on the ground reality.The DAP's remarks came a day after Gandhi said 90 percent of Azad's colleagues have returned to the Congress fold and now he has been left alone.“The Congress leader is misled by the people surrounding him about the facts and ground situation.
The reality is that the DAP has white washed Congress in J-K,” DAP general secretary and former minister R S Chib said in a statement here.Referring to former deputy chief minister Tara Chand and former MLA Balwan Singh who returned to the Congress, Chib said they, along with former minister Manohar Lal Sharma, were expelled from the party by the DAP chairman.“While one (Sharma) who holds the constituency later re-joined the DAP, the remaining two have no political constituency,” he claimed.Chib said the desertions in the Congress after the formation of the DAP has rattled the grand old party at the core and is now working in damage control mode.
“Ever since the Bharat Jodo Yatra entered Jammu and Kashmir, the local leadership (of Congress) has been begging for the crowds to local political parties.
They have lost their ground in Jammu and Kashmir and that is the reality.”Accusing Gandhi of faking his love and sympathy for the people of J-K, Chib said the Congress is maintaining a “deliberate silence on issues like Article 370 abrogation, land, jobs and the recent terror strikes in Jammu and Kashmir.”“Even he is walking alongside the leaders who spoke against the Indian Army.
Taking along such anti-national elements reflects the mindset of the Congress towards the nation,” the DAP leader, apparently referring to Congress leader and former Madhya Pradesh chief minister Digvijaya Singh who triggered a controversy by questioning the surgical strikes.Gandhi himself had snubbed Singh, termed his comments ""ridiculous"" and said the armed forces are doing their job ""exceptionally well"" and do not need to give any proof.",['Pti'],"['jammu', 'begging', 'bharat', 'local', 'leader', 'ground', 'parties', 'dap', 'crowds', 'regional', 'jodo', 'jk', 'singh', 'yatra', 'kashmir', 'minister', 'congress', 'party']"
Hindustan Times,,"Protesting wrestlers skip IOA panel meet, given one last chance to appear",https://www.hindustantimes.com/sports/others/protesting-wrestlers-skip-ioa-panel-meet-given-one-last-chance-to-appear-101675014610428.html,... sports ministry have formed separate panels to probe sexual harassment charges made by the wrestlers against WFI president Brij Bhushan Sharan Singh.,2023-01-29 23:23:45+05:30,"Protesting wrestlers skip IOA panel meet, given one last chance to appear","The country’s protesting top wrestlers did not turn up for a meeting with the sexual harassment committee formed by the Indian Olympic Association to investigate their allegations against the Wrestling Federation of India (WFI) president Brij Bhushan Sharan Singh. After they skipped the first meeting on Saturday, the wrestlers have been given one final chance to appear before the panel on February 11. New Delhi, Jan 20 (ANI): Wrestler Bajrang Punia and Vinesh Phogat speak during a silent protest against the Wrestling Federation of India (WFI) and its chief Brij Bhushan Sharan Singh against whom sexual harassment allegations were made, at Jantar Mantar, in New Delhi on Friday. (ANI Photo/ Ishant) (Ishant )

It is learnt that the wrestlers, in a letter to the seven-member IOA panel headed by Athletes Commission chairperson MC Mary Kom, said that since some of the members are also in the Oversight Committee appointed by the Union sports ministry, it made little sense to appear before two panels conducting similar investigations.

The five-member Oversight Committee is also headed by woman boxing stalwart Mary Kom and includes 2012 London Olympics wrestling bronze medallist Yogeshwar Dutt. This panel has been tasked to run the day-to-day affairs of the WFI and probe allegations of “sexual misconduct'', financial impropriety and misgovernance against WFI officials and some coaches.

Dutt’s presence in both the committees is also a sore point for the wrestlers, who feel he had come out in support of WFI president Singh in his media statements.

However, Olympic medallist Bajrang Punia, while objecting to the Oversight Commitee being constituted without the protesting wrestlers being consulted, has said they had no issue with the IOA panel.

Swinging into action within hours of the wrestlers filing a complaint to IOA president PT Usha, IOA called an executive committee meeting and formed the panel as per the Visakha guidelines that deal with sexual harassment.

The other IOA panel members are Alaknanda Ashok, Sahdev Yadav, Dola Bannerjee, Dutt and advocates Talish Ray and Shlok Chandra.

“The wrestlers have been given one last opportunity to present themselves before the panel on February 11 after which the panel will submit its report to the IOA executive committee,” said an official with knowledge of the developments.","After they skipped the first meeting on Saturday, the wrestlers have been given one final chance to appear before the panel on February 11.
The five-member Oversight Committee is also headed by woman boxing stalwart Mary Kom and includes 2012 London Olympics wrestling bronze medallist Yogeshwar Dutt.
Dutt’s presence in both the committees is also a sore point for the wrestlers, who feel he had come out in support of WFI president Singh in his media statements.
However, Olympic medallist Bajrang Punia, while objecting to the Oversight Commitee being constituted without the protesting wrestlers being consulted, has said they had no issue with the IOA panel.
The other IOA panel members are Alaknanda Ashok, Sahdev Yadav, Dola Bannerjee, Dutt and advocates Talish Ray and Shlok Chandra.",[],"['given', 'oversight', 'skip', 'protesting', 'sexual', 'chance', 'wfi', 'ioa', 'committee', 'wrestling', 'singh', 'appear', 'president', 'panel', 'meet', 'wrestlers']"
Deccan Herald,,Govt’s action does not inspire confidence,https://www.deccanherald.com/opinion/second-edit/govt-s-action-does-not-inspire-confidence-1184983.html,The government's decision on the demand for action by a number of women wrestlers against the alleged persistent sexual misconduct by Brij Bhushan Sharan...,2023-01-26 23:47:01+05:30,Govt’s action does not inspire confidence,"The government’s decision on the demand for action by a number of women wrestlers against the alleged persistent sexual misconduct by Brij Bhushan Sharan Singh, president of the Wrestling Federation of India (WFI), falls short on important grounds. The protest was led by well-known athletes Bajrang Punia, Vinesh Phogat, Sarita Mor and Sakshi Malik, and they sought the dismissal of Brij Bhushan Singh from his position. The government announced that he would step down from his position till a committee that was to be set up to investigate the charges submitted its report. Committees are usually signs of compromises or means to delay decisions on an issue. The government dillydallied on a decision on the wrestlers’ demand for three days. It was only when it realised that their protest was evoking massive public sympathy that it deigned to talk to them and announced that Singh would temporarily move away and a committee would be set up.

In the normal course, when sexual harassment charges are made and the internal committee system is non-existent or dysfunctional, a police case must be registered and investigations made. In this case, the charge is that many women wrestlers were harassed and that they did not have the courage to go public because the accused is a powerful person. Singh is a five-time MP and a powerful leader of the BJP. He has been president of the Wrestling Federation for over a decade. He is very influential in the party and in the sports field. That could be the reason why he is being treated with kid gloves even when serious charges have been made against him. It is easy to imagine what would have been the response if the same charges had been made against a less connected person, or an opposition party leader. The wrestlers who made the charges are unhappy that the members of the probe committee were finalised without consultation with them, though they had been told that they would be consulted. Taking the complainants into confidence would have created greater trust in the working of the committee not only among the complainants but among the public also. It should be remembered that the public is also a party because the charges are public and are against a person in public life. It is unfortunate that this was not done.

The charges and the way they were handled expose many faults in the system and the rot within. There was no credible grievance redressal system in the wrestlers’ body which the aggrieved athletes could trust. Women, even those who are well-known, find it difficult to have their grievances attended to and redressed promptly and effectively. The system works against them.","In the normal course, when sexual harassment charges are made and the internal committee system is non-existent or dysfunctional, a police case must be registered and investigations made.
Taking the complainants into confidence would have created greater trust in the working of the committee not only among the complainants but among the public also.
It should be remembered that the public is also a party because the charges are public and are against a person in public life.
There was no credible grievance redressal system in the wrestlers’ body which the aggrieved athletes could trust.
Women, even those who are well-known, find it difficult to have their grievances attended to and redressed promptly and effectively.",['Dhns'],"['party', 'confidence', 'govts', 'inspire', 'system', 'women', 'person', 'public', 'action', 'wrestling', 'does', 'charges', 'committee', 'singh', 'wrestlers']"
Asia News Network,,MeToo protest rocks Indian wrestling - Asia News ...,https://asianews.network/metoo-protest-rocks-indian-wrestling/,Wrestling Federation of India president Brij Bhushan Sharan Singh (centre) has been accused of sexual harassment by some of the country's best-known...,2023-01-27 12:58:13,MeToo protest rocks Indian wrestling,"January 27, 2023

BENGALURU – An unprecedented public protest by top Indian wrestlers alleging sexual harassment and assault by officials has roiled one of India’s most popular sports.

New Delhi’s Jantar Mantar – a heritage astronomical observatory and official civil rights protest site usually thronged by farmers and activists – was the site of uncommon scenes from Jan 18 to 20, as dozens of India’s top wrestlers in tracksuits and wearing medals protested against continual harassment that has lasted for years.

Some of India’s best-known men and women wrestlers, as well as hundreds of their supporters, have accused Mr Brij Bhushan Sharan Singh, the president of the country’s wrestling federation, of sexual harassment, and demanded his sacking.

Ms Vinesh Phogat, 28, a 2018 Commonwealth and Asian Games champion, said that Mr Singh and other officials had sexually harassed women athletes for many years. “I know about 10 to 20 girls who have been exploited in the national camp over the past 10 years,” she said in tears.

The protest was reportedly sparked by phone calls that Ms Phogat received from young women wrestlers who were afraid to attend a training camp in Lucknow, where the federation chief lives.

The wrestlers also accused Mr Singh of running the federation “like a tyrant” for 12 years, embezzling sports funds, taking bribes to recruit officials, and mentally harassing athletes. They said they would boycott all competitions until he was removed.

Ms Phogat posted on social media a letter they had sent on Jan 20 to the Indian Olympic Association. In it, the wrestlers wrote: “We fear for our lives.”

Mr Singh flatly denied all the allegations to the media, saying: “Even if one wrestler comes forward and says that she has been sexually harassed, that day I can be hanged.”

Meanwhile, the federation’s official Twitter account shared videos of Mr Singh inaugurating gyms and attending training camps, and a widely ridiculed video of two young wrestlers defending the federation in a rehearsed speech they delivered in unison.

In a Jan 20 letter to the sports ministry, the wrestling federation described the allegations as “malicious and unfounded” and said the athletes had “acted more in personal interest or under undue pressure or under any bigger conspiracy to malign and defame the present management”.

Mr Singh is also an MP from the ruling Bharatiya Janata Party. He is a political heavyweight in three districts in the northern Indian state of Uttar Pradesh, from where he has been elected to Parliament six times. He still faces several other pending criminal charges, including of robbery and attempted murder.

On Jan 20, the Indian Olympic Association said it had formed a seven-member committee to probe the allegations. The committee is headed by Ms M.C. Mary Kom, an Indian boxing icon, and includes Olympic medallist Yogeshwar Dutt.

The sports ministry also promised on Jan 20 to form a committee to investigate the charges, after which protesting athletes called off their demonstration.

The next day, the ministry suspended a senior federation official and said that Mr Singh would step aside until the government-appointed committee completed its investigation.

The five-member government committee is also to be headed by Ms Mary Kom and includes Mr Dutt. It is supposed to submit its report in a month, and run the wrestling federation in the interim period.

With the government cancelling all wrestling events, and some ministers accusing the teary wrestlers of having “personal hidden agendas”, the #MeToo battle is bound to get more pitched.

The protesting wrestlers said they were unhappy with the composition of the committee, with some of them tweeting: “It is very sad that we were not even consulted before the formation of this committee.”

The scandal has raised questions about the effectiveness of formal grievance redress processes within Indian sports. One of the most vocal protesters, 2016 Olympic medallist Sakshi Malik, is a member of the wrestling federation’s sexual harassment committee, a sign of the body’s powerlessness, sports observers said.

Ms Sharda Ugra, a senior sports journalist, said: “There is no proper structure to protect our athletes. The government committee is a joke, it’s a red herring, it’s a smokescreen.”

Wrestling in India has a long tradition going back several centuries. It is the only sport in which the country has won at least one medal in each of the past four Olympic Games.","January 27, 2023BENGALURU – An unprecedented public protest by top Indian wrestlers alleging sexual harassment and assault by officials has roiled one of India’s most popular sports.
Ms Vinesh Phogat, 28, a 2018 Commonwealth and Asian Games champion, said that Mr Singh and other officials had sexually harassed women athletes for many years.
Ms Phogat posted on social media a letter they had sent on Jan 20 to the Indian Olympic Association.
On Jan 20, the Indian Olympic Association said it had formed a seven-member committee to probe the allegations.
It is supposed to submit its report in a month, and run the wrestling federation in the interim period.","['Rohini Mohan', 'View All Posts Rohini Mohan']","['federation', 'protest', 'mr', 'metoo', 'rocks', 'wrestling', 'committee', 'singh', 'indian', '20', 'jan', 'olympic', 'wrestlers']"
